1,"[['Home', '4 pce', 'Gardens', 'Sherwood', 'Park', 'County', 'Real', 'View', 'Property', 'Heights', 'Plains', 'Listing', 'Listings', 'Rural', 'Spruce', 'Ridge', 'Office $597000', 'Courtesy', 'West', 'Grove', 'Valley', 'Mc', 'Gas', 'Area', 'Place', 'Edmonton', 'Estate'], ['Home', 'Lake', '2-53522 rge', 'County', 'Request', 'S e4150350', 'Parkland', 'Property', 'Heights', '2002 type', '274. rural', 'Listings', 'Room', 'Family', 'Spruce', 'Grove', 'Bungalow', 'Asphalt', 'Sunday13 oct monday14', 'B t7', 'Contact', 'Subdivision', 'Edmonton', 'Luxury', 'Rd 274.', '1200 p m1230', 'Price', '1687 acres 2.06', 'Search'], ['Home', '2003 type', 'T7 x 3', 'Lake', 'Treed', 'County', 'Request', 'Remarks', 'Parkland', 'Property', 'Homes', 'Garage', '274. rural', 'Listings', 'Information', 'Spruce', 'Exterior', 'S e4160841', 'Gas', '53522 rge', 'Sunday13 oct monday14', 'B t7', 'Contact', '1808 acres 2.00', 'Lot', 'Edmonton', 'Rd 274.', '1200 p m1230', 'Price', 'Search'], ['Home', '2003 type', 'T7 x 3', 'Lake', 'Treed', 'County', 'Request', 'Remarks', 'Parkland', 'Property', 'Homes', 'Garage', '274. rural', 'Listings', 'Information', 'Spruce', 'Exterior', 'Interior', 'S e4160841', 'Gas', '53522 rge', 'Sunday13 oct monday14', 'B t7', 'Contact', '1808 acres 2.00', 'Lot', 'Edmonton', 'Rd 274.', '1200 p m1230', 'Search'], ['Lake', 'County', 'Parkland', 'Real', 'Estates', 'Sale', 'Rural', '0.29 km', 'Spruce', 'Township', 'Suite 1-26318', 'Nation10971-274 street 0.33', 'Courtesy', 'Estate 53504', '4 bath', 'Road 531', 'Grove', 'Estates1252 webber', '200722 days', 'B 2.', 'Realty', '53522 rge', 'Houses', 'Zolo', '100-121 century', 'Greens', 'Inc', '3. muir', 'Price', 'Northwest 6.89', 'Homes'], ['Home', 'Lake', '2-53522 rge', 'County', 'Request', 'S e4150350', 'Parkland', 'Property', 'Heights', '2002 type', '274. rural', 'Listings', 'Room', 'Family', 'Spruce', 'Grove', 'Bungalow', 'Asphalt', 'Sunday13 oct monday14', 'B t7', 'Contact', 'Subdivision', 'Edmonton', 'Luxury', 'Rd 274.', '1200 p m1230', 'Price', '1687 acres 2.06', 'Search'], ['Inc. 1-53522', 'Lake', '124 street', 'County', 'Parkland', '199629 days', 'Real', 'Ridge 4.', '0.37. homes', '107 avenue', 'Sale', '0.07 km', 'Northwest 0.07', '5 bath', '124 st', 'Rural', 'Royal', 'Courtesy', 'Edmonton 124', 'M3 c 3', '274 road 1', 'B 2.', '53522 rge', 'Houses', 'Zolo', 'Estate 52418', 'Ave', '3. muir', '5 bed 5', 'Price'], ['52 rge', 'Lake', 'County', 'Parkland', '199629 days', 'Real', '553115 range', 'Estate 3', '263 road', 'Sale', 'Liquor', 'Rd 274', 'Rural', '0.29 km', 'Township', 'Spruce', 'Suite 1-26318', 'Nation10971-274 street 0.33', 'Courtesy', 'B 2.', '269 st 0.48', 'Realty', 'Houses', 'Zolo', '100-121 century', 'Inc', 'Inc. 39-53302', '3. muir', 'Northwest 6.89', 'Homes']]","['https://www.greateredmontonrealestate.com/listing/e4150350-2-53522-rge-rd-274-rural-parkland-county-ab-t7x-3t1/', 'https://www.edmontonrealestate.ca/listing/e4150350-2-53522-rge-rd-274-rural-parkland-county-ab-t7x-3t1/', 'https://www.edmontonrealestate.ca/listing/e4160841-1-53522-rge-rd-274-rural-parkland-county-ab-t7x-3t1/go-tour/', 'https://www.edmontonrealestate.ca/listing/e4160841-1-53522-rge-rd-274-rural-parkland-county-ab-t7x-3t1/', 'https://www.zolo.ca/rural-parkland-county-real-estate/53522-rge-rd-274/2-53522', 'https://www.edmontonrealestate.ca/listing/e4150350-2-53522-rge-rd-274-rural-parkland-county-ab-t7x-3t1/go-tour/', 'https://www.zolo.ca/rural-parkland-county-real-estate/1-53522-rge-rd-274-road', 'https://www.zolo.ca/rural-parkland-county-real-estate/52-53522-rge-rd-274/53522']"
6,"[['Safeway', '86 avenue t8', 'Wholesale', 'Palau', 'Stores', 'Hours', 'Number0.13 km', 'Club', '2200 sun 800', 'Mar 08039', 'Brands', 'Garden', 'Grocery', 'Cities', 'Banks', 'Hours', 'Information', 'Phone number0.13', 'Foods', 'T8 l 4', 'Frills', 'Tiendeo', 'Planet', 'Travel', '100th st', 'Opening', 'Edmonton', 'T8', 'Store', 'Macs', 'Fort'], ['0.2 km', 'Park', '90 street 2.52', 'S e4175479', 'Real', 'Terms', 'Homes', 'Sale', 'House', '(2014) mortgage', 'Website', 'Realty 67', 'Inc. 1031-88', 'Townhomes7800 southfort', 'Courtesy', '3. south', 'Drive 0.2', 'B 2.', 'Zolo', '24 dragonfly', 'Westpark', 'Estate', 'Saskatchewan', 'Point', '3 days', 'Fort', '2019)n e']]","['https://www.tiendeo.ca/Shops/Fort-Saskatchewan/no-frills---th-st/4145', 'https://www.zolo.ca/fort-saskatchewan-real-estate/24-dragonfly-point']"
8,"[['Wall', 'Inglewood', 'Link', 'Rent', 'Request', 'Real', 'Level', 'Property', 'Download', 'Details', 'Floor', 'Properties', 'App', 'Condos', 'Guide', '18 ft', 'Listings', 'Information', 'Office', 'Levels', 'Attached', 'Exterior', '13 s', 'Metal', 'Houses', 'Townhouses', 'Estate', 'E 103', 'Sign', 'App', 'Home']]",['https://www.zoocasa.com/inglewood-calgary-ab-real-estate/6264703-103-1212-13-st-se-inglewood-calgary-ab-t2g5r3-c4257387']
18,"[['Concerns', 'Print', 'Submit', 'Parks', 'Calgary', 'Business', 'Public', 'Programs', 'Council', 'Close', 'Number', 'Safety', 'Communications', 'Social', 'Questions', 'Councillors', 'Information', 'Services', 'Information', 'Department', 'Ward 1', 'Fire', 'Road', 'Emergency', 'Taxes', 'City', 'Map', 'Bylaws', 'Library', 'Planning', 'Police', 'News', 'Contact', 'Community', 'Animal', 'Search'], ['Village 13', 'Management 4305', 'Associate (27)forgot', 'Calgary', 'Terms', 'Time', 'Company', 'Salary', 'Well-defined7 days', 'Answers', 'Messages', 'Terms', 'Questions', 'Company', '5 kilometers', 'Manor', 'Job', 'Reviews', 'Mountain 2442', 'Waste', 'Job', 'Jobs', 'Salaries', 'Design', 'Browse', 'Opportunities', 'Iron', 'Save', 'Resume', 'Jobs', 'Search'], ['Terms', 'Intact 281', 'Time', 'Salary', 'Messages', 'Hours', 'Terms', 'Apprentice', 'Studio', 'Brand', 'Sponsored', '5 kilometers', 'Manager', 'Job', 'Reviews', 'Delivery', 'Tuesdays 7am', '(1)location calgary', 'Job', 'Jobs', 'Salaries', 'Browse', 'Experience', 'Save', 'Resume', 'B (28)', 'Employers', '3 days', 'Jobs', 'Search'], ['5+ years', 'Village 13', 'M 6552', 'Management 4305', 'Calgary', 'View', 'Terms', 'Time', 'Rogers', 'Company', 'Salary', 'Pleasantshopping1 day', 'Pizza', 'Answers', 'Questions', 'Service', 'Automotive', 'Manor', 'Experience', 'Job', 'Reviews', 'Solutions 98', 'Job', 'Jobs', 'Salaries', 'Alberta', 'Communications (10)', 'B6 months', 'Experience', 'Provider of10', 'Resume', 'Save', 'Jobs', 'Search']]","['https://www.calgary.ca/CSPS/PSC/Pages/Non-emergency-calls.aspx', 'https://ca.indeed.com/None-Company-jobs-in-Calgary,-AB', 'https://ca.indeed.com/None-$60,000-jobs-in-Calgary,-AB', 'https://ca.indeed.com/None-Experience-jobs-in-Calgary,-AB']"
19,"[['Register', '3.2 k', 'Friends', 'Type', 'Family', 'Air', 'Fireplace', 'Total 3', 'Information', '1 s', 'Farmland', 'Main', 'Bungalow', 'Guide', 'Size', '(id28005) property', 'Remax', 'Regina', 'Level', 'Contact', 'Password', '20 ft 24', 'Saskatchewan', 'Central', '3 bathroom 1100', 'Sign', 'Homes', 'Acreage']]",['https://www.remaxregina.ca/listing/lang-acreage-lumsden-rm-no-189-saskatchewan-s0g-3c0-21180350/']
25,"[['National', 'Health', 'Stampeders', 'Life', 'Canadas', 'Calgary', 'Business', 'Homes', 'Years', 'Election', 'Herald', 'Rights', 'War', 'Life', 'Post', 'Gift', 'Opinion', 'Movies', 'Arts', 'Alberta', 'News', 'Local', 'Edmonton', 'Science'], ['Man', 'October 11', 'Calgary', 'Vancouver', 'Southern', 'Stories', '$33 b', 'Friday', 'Thanksgiving', 'Weekend', 'People', 'Cancer', 'Police', 'Alberta', 'Regina', 'News', 'Dog', 'Lethbridge', 'Ontario'], ['Site', 'Listings', 'Rent', 'Calgary', 'Form', 'Searches', 'Renters', 'Time', 'Property', 'List', 'Property', 'Search', 'Area', 'Interest', 'Number', 'Properties', 'Features', 'Information', 'Faster.ca', 'Rentals', 'City', 'Map', 'Proximity', '1131 n', 'Searches', 'Apartments', 'City', 'Login', 'Community', 'Faves', 'Search', 'Houses', 'Rent', 'Homes', 'Home'], ['Olympic', 'Canadian', 'Canadas', 'Avenue', 'Park', '5103 n 11404', 'Centre', 'Calgary', 'Calgarys', 'Fielding6 m', 'Hill', 'Downtown', 'University', 'Heights', 'Area', 'Canada', 'Number', 'Edmonton corridor.13', 'West', 'City', 'Alberta', 'Population', 'Oil', 'Population', 'City', 'Census', 'T c0700']]","['https://calgaryherald.com/', 'https://calgary.ctvnews.ca/', 'https://www.rentfaster.ca/ab/calgary/', 'https://en.wikipedia.org/wiki/Calgary']"
26,"[['Calgary', 'Hotel', 'Centre', 'New', 'Price', 'Hotel', 'Downtown', 'Marriott', 'Inn', 'Canada', 'Suites', '(1598 reviews)c$ 216+view', 'Airport', 'Hotel9.4 excellent (1598', 'Dollars', 'Pesos', 'Hotels', 'Hotels', 'Dinar', 'City', 'Rupees'], ['Personal', 'Business', 'Time', 'Events', 'Game', 'October 15.find', 'Windows', 'Team', 'Office', 'Details 200', 'Microsoft', 'Games', 'Appointment', 'Workshop', 'Students', 'League', 'Tools', 'Game', 'Business', 'Store', '2v2 tournament', 'Players', 'Event', 'Store', 'Xbox', 'Prizes']]","['https://www.ca.kayak.com/Calgary-Hotels.27482.hotel.ksp', 'https://www.microsoft.com/en-ca/store/locations/ab/calgary/chinook-centre/store-1053']"
28,"[['Video', 'Parade', 'Lake', 'Calgary', 'Realty403-652-4020 home', 'Real', 'Rodeo', 'Homes', 'Highwood', 'Sale', 'Area', 'Lineham', 'Condos', 'High', 'Estate', 'Golf', '29 km', 'B $1795000306197', 'River', 'Highland', 'Houses', 'Southern realty403-652-4020', 'Alberta', 'Estate', 'Search', 'Okotoks', 'Town', 'Homes', 'Home'], ['Park', 'Riding', 'Centre', 'Calgary', 'Association', 'New', 'Elections canada7', 'Hill', 'Election', 'Liberal', 'Canada', 'Harper', 'Wikipedia', 'Heritage', 'Winnipeg', 'Stephen', 'Party', 'Page', '5 election', 'Federal', 'St.', '3 riding', 'River', 'Conservative', 'District', '61.6 christian (26.1', 'Alberta', 'Edmonton', 'Independent', 'Green', 'Commons', 'Search'], ['Truck', 'Towing', 'Propane', 'Business', 'Time', 'Truck', 'Location', 'Storage', 'Trailer', 'Boxes', '7 pm', 'Return', 'Cargo', 'M.', 'International', 'Rentals', 'Main', 'Van', 'Haul', 'Menu', 'Trucks', 'H.', '10112019 rating', 'Service', 'Suspension', 'Calgary t2', 'Drop', 'Customer', 'T2 h1', 'Cargo']]","['http://www.remax-southern-hr-ab.ca/', 'https://en.wikipedia.org/wiki/Calgary_Heritage', 'https://www.uhaul.com/Locations/Truck-Rentals-near-Calgary-AB-T2H1L6/840051/']"
33,"[['Rod', 'Condo', 'Real', 'View', '111 street', 'Theopportunity', 'Selling', 'Listing', 'Features', 'Icon', 'Listings', 'Information', 'Detectors', 'Information', 'Basement', 'Contact dashboardinfosellerinvite.com780.994.9998', 'Downtown', 'Interior', 'B $3950002', 'Tandem', 'Seller', 'Edmonton', 'Plan', 'Estate', 'Access', 'Condominium'], ['Building', 'Home', 'Listings', 'Le', 'Page', 'Real', 'View', 'Household income$90617.87', 'Property', 'Type', 'Verification', 'Account', 'Information', 'Information', 'Detectors', 'Royal', 'Estate', 'Estate', '2001 condo', 'Properties', 'Access', 'Employment', 'Condominium'], ['Home', 'Condo', '2 community', 'V5 exterior', 'Real', 'View', '111 street', 'Property', 'Parking', 'Garage', 'Mortgage', 'Listings', 'Information', 'Detectors', 'Payment', 'Downtown', 'Map', 'Common', 'Townhouse', 'Edmonton', 'Estate', 'Access', 'Condominium', '888.336.7356 register', 'Search'], ['Toronto', 'Ottawa', 'Calgary', 'Mobile', 'View', 'Garage', 'Fee $422', 'Information', 'Detectors', 'Basement', 'Downtown', 'Interior', 'Map', 'Condominium', 'Use', 'Area', 'Business', '2 exterior', 'Beds-1+2+3+4+5+6+7+8+baths-1+2+3+4+5+6+7+8+search listings', 'Edmonton', '2001 condo', 'Access', 'Price', 'Search'], ['Payment$amortization5 years 10', 'Real', 'View', '2001 property', 'Association', 'Theopportunity', 'Type', 'Redman', 'Amenities', 'Website', 'V5 condo', 'Information', 'Detectors', 'Estate group780-457-4777', 'Grant', 'Downtown', 'Exterior', '2 basement', 'Heating', 'Common', 'Alberta', 'Edmonton', 'Community', 'Areas'], ['Home', 'T5 k2', 'Level', 'Real', 'Association', 'Kitchen', 'Type', 'Sale', '2 main', 'Area', 'Property today5', 'Canada', 'Fee $422', 'Street 4', 'Directions', 'Estate', 'Transit', 'Bedroom', 'Street', 'B t5', 'Request 5', 'Edmonton', 'Estate', 'Century 21', '2 baths 89', 'Condominium', 'Sign', 'Search'], ['2 baths', 'Home', 'Condo', 'South', 'Blog', 'Plus', '111 street', 'Parking', 'Garage', 'Twitter', 'Listings', 'Information', 'Detectors', 'Downtown', 'Exterior', 'Interior', 'Map', 'Condominium', 'Buyers', 'Edmonton', 'Login', 'Estate', 'Access', '2001 type', 'Search'], ['3. downtown', 'Avenue', 'Park', 'Real', 'Terms', '111 street', 'Sale', 'W 0.19', 'Use', 'O 4.', 'Website', '111 st', '0.08 km', 'Nw', 'Inc. 1031-88', 'S e4149820', 'Members', 'Registrant', 'Northwest 0.08', 'A.', 'B 2.', 'Realty', 'Zolo', 'Edmonton', 'Estate', 'Ave', 'Access', 'Jasper', '3 days', 'Homes']]","['https://www.sellerinvite.com/listing/e4149497-5-10235-111-street-edmonton-ab-t5k-2v5/', 'https://www.royallepage.ca/en/property/alberta/edmonton/5-10235-111-st-nw/9417109/mlse4149497/', 'https://www.edmontonrealestate.pro/listing/Edmonton/Downtown/e4149497-5-10235-111-street-edmonton-ab-t5k-2v5/', 'https://www.real-estate.ca/listing-ereb/e4149497-5-10235-111-street-edmonton-ab-t5k-2v5/', 'https://www.paranych.com/for-sale/5-10235-111-street--E4149497', 'http://www.century21.ca/Property/AB/T5K2V5/Edmonton/5_10235_111_ST_NW', 'https://www.edmonton-real-estate.com/listing/e4149497-5-10235-111-street-edmonton-ab-t5k-2v5/', 'https://www.zolo.ca/edmonton-real-estate/10235-111-street-northwest/5']"
47,"[['Building', 'Systems', 'T0 m t1', 'Construction', 'Calgary', 'Contractors', 'Acrylic', 'Phone', 'T2 c t2', 'T2 p t2', 'Stucco', 'Clear t0', 'T4 s', 'Materials', 'T1 y t2', 'B (48', 'Drywall', 'Residential', 'Products', 'Repair', 'Supplier', 'Directions', 'Stucco', 'Exterior', 'T4 n t4', 'Deer', 'Red', 'Commercial', 'Ltd', 'T2 e t2', '403-341-4141 directions', 'T2', 'Stone', 'Search'], ['Home', 'Visit', 'Bedrooms0 bathrooms0 garage0', 'Rent', 'Avenue', 'Blog', 'Mobile', 'Advertisement', 'Original', 'Email', 'Property', 'Property', 'Phone', 'Brokers', 'Properties', 'Email', 'T4 n3 k5.', 'Agent', 'Bathrooms0 garage0', '0 ba 76', '3 k5', 'Office', 'T4 n 3', 'B t4', 'Policy', 'Deer', 'Copyright', 'T4', 'Red', 'Area', 'User', 'Center', 'Finance', 'Agents', 'Price', 'Copy'], ['Home', 'Visit', 'Bedrooms0 bathrooms0 garage0', 'Avenue', 'Blog', 'Mobile', '5 a3', 'Advertisement', 'Original', 'Email', 'Property', 'Property', 'Fax', 'Properties31 springfield', 'Phone', 'Brokers', 'Properties', 'Email', 'Bathrooms0 garage0', 'Office', 'T4 n 3', 'B t4', 'Policy', 'Deer', 'Copyright', 'T4', 'T4 n3 j7.', 'Red', '3 j7', '0 ba 53', 'Area', 'User', 'Center', 'Finance', 'Agents', 'Copy']]","['https://www.yellowpages.ca/search/si/1/Stucco+Contractors/Red+Deer+County+AB', 'http://www.canadapropertylisting.com/3707-44a-avenue-red-deer-ab-pid1394488s3', 'http://www.canadapropertylisting.com/3210-44a-avenue-red-deer-ab-pid1394441s3']"
